,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,2016 Suicide Rates
118,Angola,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,8.9
119,Niger,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,9.0
120,South Sudan,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,6.1
121,Chad,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,15.5
122,Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,14.8
123,Uganda,3.739,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,20.0
124,Yemen,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,9.8
125,Madagascar,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,6.9
126,Liberia,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,13.4
127,Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,10.5
128,Rwanda,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,11.0
129,Benin,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,15.7
130,Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,6.4
131,Togo,3.303,0.28123,0.0,0.24811,0.34678,0.11587,0.17517,2.1354,16.6
132,Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,15.0
